'Z328', '2024-06-5', '08:13', '10:35', 244.463, 538.669, 1.666.594, 'Santa Marta', 'Bogota'
'X633', '2024-06-6', '02:55', '05:58', 483.669, 640.186, 4.023.518, 'Santa Marta', 'Cartagena'
'G611', '2024-06-12', '16:50', '17:07', 295.876, 915.371, 2.684.321, 'Medellin', 'Santa Marta'
'N891', '2024-06-13', '07:15', '11:48', 438.164, 692.289, 2.927.741, 'Cali', 'Bogota'
'E350', '2024-06-26', '15:52', '17:10', 279.458, 506.496, 1.066.916, 'Cartagena', 'Bogota'
'J773', '2024-06-6', '10:21', '11:03', 293.612, 972.660, 4.265.332, 'Bogota', 'Santa Marta'
'B552', '2024-06-13', '13:28', '15:29', 390.970, 781.301, 2.636.179, 'Cali', 'Bogota'
'I352', '2024-06-19', '18:33', '20:33', 112.548, 607.120, 3.138.340, 'Cartagena', 'Medellin'
'Y874', '2024-06-5', '15:17', '16:50', 108.548, 889.209, 4.215.978, 'Santa Marta', 'Cartagena'
'A823', '2024-06-19', '02:55', '06:03', 286.051, 887.727, 1.794.728, 'Medellin', 'Bogota'
'J837', '2024-06-5', '17:01', '18:02', 182.306, 601.733, 3.060.789, 'Cartagena', 'Bogota'
'Z343', '2024-06-19', '13:47', '17:42', 248.460, 849.734, 1.382.792, 'Cali', 'Medellin'
'E747', '2024-06-19', '06:53', '09:52', 426.098, 767.319, 4.081.864, 'Medellin', 'Bogota'
'D141', '2024-06-27', '17:29', '20:54', 330.781, 531.990, 2.817.297, 'Cartagena', 'Bogota'
'E387', '2024-06-26', '03:32', '07:00', 473.622, 609.433, 2.821.653, 'Cartagena', 'Medellin'
'P636', '2024-06-12', '10:52', '12:50', 183.918, 644.497, 3.018.149, 'Santa Marta', 'Bogota'
'K776', '2024-06-6', '19:01', '21:36', 340.848, 968.318, 1.259.865, 'Santa Marta', 'Cali'
'W556', '2024-06-19', '21:50', '23:03', 169.404, 896.128, 4.830.564, 'Cartagena', 'Medellin'
'L703', '2024-06-19', '07:09', '07:17', 107.432, 765.044, 1.848.939, 'Santa Marta', 'Cali'
'L890', '2024-06-20', '11:09', '13:32', 391.458, 673.038, 4.485.596, 'Medellin', 'Cartagena'
'G714', '2024-06-20', '08:01', '10:34', 368.435, 552.773, 3.427.251, 'Bogota', 'Cartagena'
'H152', '2024-06-12', '19:12', '23:48', 143.776, 899.772, 3.900.612, 'Cartagena', 'Santa Marta'     
'I966', '2024-06-26', '08:57', '09:37', 228.361, 600.499, 2.154.222, 'Cartagena', 'Cali'
'R874', '2024-06-19', '05:31', '08:40', 185.702, 943.771, 4.208.738, 'Cartagena', 'Santa Marta'      
'U929', '2024-06-19', '15:02', '17:21', 115.796, 647.904, 2.932.337, 'Bogota', 'Medellin'
'E389', '2024-06-6', '16:46', '20:32', 420.182, 557.153, 4.055.065, 'Cali', 'Medellin'
'L505', '2024-06-12', '04:52', '05:23', 378.191, 677.832, 1.759.483, 'Medellin', 'Cali'
'J786', '2024-06-26', '15:44', '16:20', 464.673, 723.388, 4.718.254, 'Cali', 'Bogota'
'I506', '2024-06-26', '12:13', '13:48', 156.761, 955.557, 4.359.006, 'Medellin', 'Cartagena'
'W151', '2024-06-27', '01:46', '03:28', 158.668, 887.450, 1.527.895, 'Santa Marta', 'Bogota'
'I657', '2024-06-5', '23:46', '2:48', 227.358, 920.227, 3.299.390, 'Bogota', 'Medellin'
